"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HCLTECH","EQ","30-Dec-2016","819.35","822.00","830.00","814.90","825.20","827.95","825.08","10,25,942","84,64,88,974.70","50,825","5,94,519","57.95"
"HCLTECH","EQ","29-Dec-2016","807.05","807.10","824.90","805.30","823.00","819.35","818.83","17,80,001","1,45,75,27,048.90","79,405","12,14,559","68.23"
"HCLTECH","EQ","28-Dec-2016","804.85","810.00","817.75","804.15","809.70","807.05","811.81","7,17,216","58,22,45,017.00","42,783","4,20,251","58.59"
"HCLTECH","EQ","27-Dec-2016","790.40","788.90","809.90","787.00","804.00","804.85","801.95","5,05,709","40,55,51,308.75","25,032","1,59,743","31.59"
"HCLTECH","EQ","26-Dec-2016","793.75","791.90","797.80","783.30","788.35","790.40","791.90","5,58,575","44,23,36,730.20","22,196","2,22,351","39.81"
"HCLTECH","EQ","23-Dec-2016","817.10","816.00","816.00","791.00","797.25","793.75","800.24","14,52,634","1,16,24,62,866.40","37,147","9,11,040","62.72"
"HCLTECH","EQ","22-Dec-2016","820.80","818.30","822.90","806.00","815.20","817.10","814.57","7,91,257","64,45,36,634.10","20,271","4,62,613","58.47"
"HCLTECH","EQ","21-Dec-2016","830.15","835.00","836.80","816.30","819.00","820.80","826.82","10,31,894","85,31,95,307.70","53,689","6,55,333","63.51"
"HCLTECH","EQ","20-Dec-2016","824.70","825.00","834.15","824.35","831.80","830.15","829.94","14,02,284","1,16,38,11,033.40","62,031","10,41,353","74.26"
"HCLTECH","EQ","19-Dec-2016","820.60","820.60","826.90","815.00","826.00","824.70","822.45","10,74,079","88,33,76,908.50","37,947","7,54,265","70.22"
"HCLTECH","EQ","16-Dec-2016","832.15","835.80","835.80","815.20","820.60","820.60","820.97","13,16,441","1,08,07,57,646.10","49,244","8,08,265","61.40"
"HCLTECH","EQ","15-Dec-2016","820.80","822.00","840.00","822.00","830.00","832.15","833.52","28,00,815","2,33,45,42,165.20","86,562","17,05,837","60.91"
"HCLTECH","EQ","14-Dec-2016","800.95","806.10","824.30","796.25","822.00","820.80","814.67","18,60,577","1,51,57,50,718.15","80,698","10,03,772","53.95"
"HCLTECH","EQ","13-Dec-2016","799.80","801.05","803.90","791.20","801.00","800.95","796.78","9,38,976","74,81,58,279.85","58,100","5,91,069","62.95"
"HCLTECH","EQ","12-Dec-2016","803.30","796.00","803.55","790.65","800.05","799.80","798.32","15,05,531","1,20,18,91,926.95","73,606","10,58,313","70.29"
"HCLTECH","EQ","09-Dec-2016","794.85","797.00","805.90","783.25","802.50","803.30","800.48","13,49,777","1,08,04,64,895.65","44,787","6,73,155","49.87"
"HCLTECH","EQ","08-Dec-2016","785.35","789.00","797.00","783.00","795.40","794.85","792.35","10,31,818","81,75,60,304.40","44,713","6,48,998","62.90"
"HCLTECH","EQ","07-Dec-2016","780.90","786.70","789.10","771.10","788.70","785.35","783.54","8,10,851","63,53,34,342.50","37,284","4,66,887","57.58"
"HCLTECH","EQ","06-Dec-2016","793.40","798.00","801.50","778.40","779.35","780.90","789.32","7,78,814","61,47,32,083.20","35,223","4,98,022","63.95"
"HCLTECH","EQ","05-Dec-2016","793.60","789.55","801.45","782.20","797.40","793.40","791.28","7,53,658","59,63,58,235.15","20,638","4,01,247","53.24"
"HCLTECH","EQ","02-Dec-2016","803.10","801.70","816.90","790.00","790.10","793.60","805.40","10,51,697","84,70,36,045.90","54,030","4,21,831","40.11"
"HCLTECH","EQ","01-Dec-2016","803.80","803.90","806.50","792.00","804.60","803.10","799.03","12,56,375","1,00,38,78,243.00","36,374","8,49,781","67.64"
"HCLTECH","EQ","30-Nov-2016","805.30","810.00","810.45","798.00","805.00","803.80","803.68","15,31,730","1,23,10,27,854.65","57,310","11,01,771","71.93"
"HCLTECH","EQ","29-Nov-2016","806.05","806.00","813.70","799.30","808.35","805.30","807.26","8,23,680","66,49,20,326.40","33,410","4,84,693","58.84"
"HCLTECH","EQ","28-Nov-2016","801.95","806.00","811.15","790.35","805.00","806.05","804.12","15,16,524","1,21,94,69,760.75","34,782","8,77,008","57.83"
"HCLTECH","EQ","25-Nov-2016","767.80","771.95","812.00","770.05","799.25","801.95","798.51","27,38,666","2,18,68,57,178.05","84,767","15,46,507","56.47"
"HCLTECH","EQ","24-Nov-2016","763.45","765.00","772.65","753.00","767.15","767.80","764.86","20,93,744","1,60,14,24,002.65","76,798","12,83,418","61.30"
"HCLTECH","EQ","23-Nov-2016","762.10","763.00","768.70","756.45","765.05","763.45","761.67","9,00,878","68,61,75,533.50","30,814","5,66,574","62.89"
"HCLTECH","EQ","22-Nov-2016","758.35","765.00","767.50","755.05","762.40","762.10","763.14","10,31,823","78,74,30,301.75","41,064","6,52,049","63.19"
"HCLTECH","EQ","21-Nov-2016","763.85","765.00","779.50","755.20","759.00","758.35","766.59","10,77,860","82,62,79,233.40","42,075","5,07,295","47.07"
"HCLTECH","EQ","18-Nov-2016","760.15","757.60","778.95","757.60","761.00","763.85","769.74","18,41,117","1,41,71,75,952.85","93,676","13,81,712","75.05"
"HCLTECH","EQ","17-Nov-2016","773.85","766.00","776.00","756.00","760.60","760.15","760.23","26,88,419","2,04,38,12,815.70","59,938","19,89,622","74.01"
"HCLTECH","EQ","16-Nov-2016","770.75","776.00","787.95","764.25","770.00","773.85","776.09","22,81,346","1,77,05,19,720.10","50,806","14,89,680","65.30"
"HCLTECH","EQ","15-Nov-2016","764.10","765.00","787.00","736.00","761.50","770.75","767.55","26,28,788","2,01,77,18,751.10","84,059","17,73,208","67.45"
"HCLTECH","EQ","11-Nov-2016","789.65","784.85","793.00","755.00","766.65","764.10","763.03","25,21,761","1,92,41,90,453.75","66,879","16,04,231","63.62"
"HCLTECH","EQ","10-Nov-2016","784.85","790.05","805.80","776.00","793.00","789.65","792.02","18,22,273","1,44,32,70,636.65","1,23,554","11,44,767","62.82"
"HCLTECH","EQ","09-Nov-2016","809.00","765.00","797.75","763.15","789.95","784.85","786.83","26,48,398","2,08,38,50,403.10","68,463","15,59,758","58.89"
"HCLTECH","EQ","08-Nov-2016","817.20","811.00","815.90","791.25","807.50","809.00","804.40","12,57,371","1,01,14,24,387.50","47,875","6,98,398","55.54"
"HCLTECH","EQ","07-Nov-2016","794.75","800.00","827.50","794.90","814.00","817.20","814.67","29,93,787","2,43,89,38,711.70","58,240","19,74,116","65.94"
"HCLTECH","EQ","04-Nov-2016","763.10","763.00","799.00","763.00","793.00","794.75","783.60","28,41,663","2,22,67,25,195.40","53,809","17,51,575","61.64"
"HCLTECH","EQ","03-Nov-2016","764.30","765.90","769.25","760.50","760.50","763.10","764.06","12,03,338","91,94,27,919.25","41,791","9,12,940","75.87"
"HCLTECH","EQ","02-Nov-2016","772.90","765.00","773.00","763.00","764.40","764.30","766.60","10,27,083","78,73,58,927.10","28,366","7,77,031","75.65"
"HCLTECH","EQ","01-Nov-2016","767.75","771.80","776.40","767.00","773.90","772.90","772.05","10,98,171","84,78,38,442.00","58,454","8,09,255","73.69"
"HCLTECH","EQ","30-Oct-2016","763.15","770.00","774.00","765.00","767.25","767.75","768.19","1,41,864","10,89,78,256.00","2,908","89,479","63.07"
"HCLTECH","EQ","28-Oct-2016","774.30","774.15","781.20","760.00","765.00","763.15","770.29","27,11,466","2,08,86,08,439.55","75,308","20,84,184","76.87"
"HCLTECH","EQ","27-Oct-2016","790.85","784.80","786.65","771.30","776.15","774.30","775.39","20,25,316","1,57,04,13,456.35","70,531","14,09,753","69.61"
"HCLTECH","EQ","26-Oct-2016","804.55","801.70","803.85","787.60","790.70","790.85","793.86","16,11,775","1,27,95,27,191.95","71,218","12,47,040","77.37"
"HCLTECH","EQ","25-Oct-2016","810.65","806.75","811.50","802.50","803.50","804.55","805.68","17,34,565","1,39,75,03,849.55","78,941","13,29,336","76.64"
"HCLTECH","EQ","24-Oct-2016","831.75","831.25","836.90","808.65","811.00","810.65","811.92","17,07,222","1,38,61,31,543.50","53,775","10,30,554","60.36"
"HCLTECH","EQ","21-Oct-2016","815.55","823.00","848.70","821.25","830.45","831.75","835.67","51,41,259","4,29,64,08,606.75","71,747","25,24,235","49.10"
"HCLTECH","EQ","20-Oct-2016","830.55","829.55","833.00","812.05","816.40","815.55","819.25","24,88,727","2,03,88,83,442.80","45,013","17,64,542","70.90"
"HCLTECH","EQ","19-Oct-2016","834.80","834.60","841.65","826.00","830.00","830.55","831.55","21,39,260","1,77,89,04,352.15","51,113","13,98,409","65.37"
"HCLTECH","EQ","18-Oct-2016","808.40","812.00","836.40","812.00","833.10","834.80","825.58","13,26,969","1,09,55,24,428.20","52,399","7,40,097","55.77"
"HCLTECH","EQ","17-Oct-2016","812.70","817.60","818.00","803.00","811.10","808.40","807.24","7,40,093","59,74,32,742.70","34,684","4,24,178","57.31"
"HCLTECH","EQ","14-Oct-2016","803.30","804.00","822.50","799.85","814.00","812.70","810.63","13,76,193","1,11,55,78,512.75","51,550","7,76,099","56.39"
"HCLTECH","EQ","13-Oct-2016","813.00","809.80","825.10","790.65","803.00","803.30","801.39","20,76,011","1,66,37,03,728.85","62,982","15,02,009","72.35"
"HCLTECH","EQ","10-Oct-2016","806.55","802.00","815.85","802.00","813.00","813.00","810.78","7,69,244","62,36,89,981.60","19,363","3,72,816","48.47"
"HCLTECH","EQ","07-Oct-2016","801.55","802.15","809.45","785.30","806.25","806.55","797.90","7,67,927","61,27,30,140.45","34,843","4,01,269","52.25"
"HCLTECH","EQ","06-Oct-2016","816.00","816.00","816.75","797.20","803.60","801.55","801.49","15,88,731","1,27,33,48,030.70","46,179","10,14,666","63.87"
"HCLTECH","EQ","05-Oct-2016","818.15","818.25","823.25","806.25","815.00","816.00","814.31","7,98,470","65,02,02,069.85","34,096","4,08,798","51.20"
"HCLTECH","EQ","04-Oct-2016","808.60","812.50","821.00","810.00","817.20","818.15","817.02","15,06,687","1,23,09,88,259.30","55,822","10,83,148","71.89"
"HCLTECH","EQ","03-Oct-2016","799.90","805.00","812.00","794.40","811.00","808.60","802.73","15,16,868","1,21,76,32,556.30","62,820","9,86,175","65.01"
"HCLTECH","EQ","30-Sep-2016","791.05","797.00","804.00","787.00","800.00","799.90","798.07","18,31,300","1,46,14,98,491.80","51,340","13,48,845","73.66"
"HCLTECH","EQ","29-Sep-2016","796.30","799.00","804.60","781.30","788.00","791.05","793.93","28,46,344","2,25,97,84,567.50","36,859","21,29,384","74.81"
"HCLTECH","EQ","28-Sep-2016","795.85","798.00","801.90","790.00","799.00","796.30","796.87","15,33,187","1,22,17,57,672.80","56,395","10,81,995","70.57"
"HCLTECH","EQ","27-Sep-2016","788.95","788.95","799.80","784.00","797.15","795.85","790.92","16,31,598","1,29,04,68,403.25","55,624","12,26,464","75.17"
"HCLTECH","EQ","26-Sep-2016","797.25","795.05","796.95","785.65","788.00","788.95","790.88","18,25,995","1,44,41,38,354.15","34,719","15,04,332","82.38"
"HCLTECH","EQ","23-Sep-2016","788.85","794.65","804.00","792.40","795.00","797.25","799.42","26,05,785","2,08,31,24,400.05","79,103","18,68,945","71.72"
"HCLTECH","EQ","22-Sep-2016","792.60","799.00","799.95","783.80","793.00","788.85","789.74","11,17,361","88,24,29,725.25","50,481","7,46,834","66.84"
