"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","28-Jun-2024","1,573.35","1,572.55","1,588.50","1,564.25","1,566.65","1,566.75","1,573.00","81,97,544","12,89,47,21,249.45","2,47,411","49,19,176","60.01"
"INFY","EQ","27-Jun-2024","1,540.70","1,538.45","1,578.40","1,532.05","1,571.00","1,573.35","1,562.84","1,47,57,754","23,06,40,65,426.25","3,35,798","93,96,366","63.67"
"INFY","EQ","26-Jun-2024","1,541.95","1,541.00","1,548.85","1,535.00","1,540.15","1,540.70","1,541.97","48,51,004","7,48,00,90,346.65","1,33,969","35,06,433","72.28"
"INFY","EQ","25-Jun-2024","1,527.15","1,526.00","1,543.90","1,520.35","1,540.00","1,541.95","1,536.34","45,51,525","6,99,26,69,447.30","1,62,269","33,62,525","73.88"
"INFY","EQ","24-Jun-2024","1,532.70","1,524.55","1,529.10","1,515.40","1,526.00","1,527.15","1,524.12","55,64,989","8,48,17,16,683.90","1,91,438","40,93,833","73.56"
"INFY","EQ","21-Jun-2024","1,515.40","1,545.00","1,557.75","1,523.70","1,525.10","1,532.70","1,538.98","1,73,01,941","26,62,72,64,655.05","3,86,255","88,01,952","50.87"
"INFY","EQ","20-Jun-2024","1,511.35","1,516.30","1,517.50","1,499.10","1,516.10","1,515.40","1,510.80","79,27,010","11,97,61,10,388.75","1,66,148","48,40,779","61.07"
"INFY","EQ","19-Jun-2024","1,498.20","1,505.00","1,515.65","1,496.70","1,510.25","1,511.35","1,508.16","54,93,456","8,28,50,25,892.10","1,84,453","34,88,587","63.50"
"INFY","EQ","18-Jun-2024","1,488.90","1,497.00","1,507.00","1,495.40","1,499.00","1,498.20","1,500.33","54,20,939","8,13,31,82,879.15","1,93,064","39,41,258","72.70"
"INFY","EQ","14-Jun-2024","1,493.95","1,503.70","1,503.70","1,486.05","1,488.50","1,488.90","1,489.97","42,37,727","6,31,40,88,833.20","1,61,152","25,08,255","59.19"
"INFY","EQ","13-Jun-2024","1,485.20","1,495.00","1,505.00","1,489.35","1,494.00","1,493.95","1,495.78","73,07,565","10,93,05,15,249.65","1,91,937","44,15,299","60.42"
"INFY","EQ","12-Jun-2024","1,495.75","1,507.00","1,508.75","1,482.75","1,486.40","1,485.20","1,493.28","95,64,320","14,28,22,18,151.55","2,08,574","71,79,724","75.07"
"INFY","EQ","11-Jun-2024","1,499.75","1,500.05","1,506.45","1,493.95","1,496.00","1,495.75","1,500.46","48,53,054","7,28,17,90,761.15","1,96,731","33,09,314","68.19"
"INFY","EQ","10-Jun-2024","1,533.60","1,525.30","1,529.80","1,497.30","1,498.10","1,499.75","1,504.76","68,10,606","10,24,83,20,789.20","2,15,749","42,75,279","62.77"
"INFY","EQ","07-Jun-2024","1,472.25","1,481.00","1,539.70","1,477.25","1,531.00","1,533.60","1,523.28","2,40,75,302","36,67,35,07,939.55","6,71,586","1,55,35,234","64.53"
"INFY","EQ","06-Jun-2024","1,430.10","1,444.95","1,474.30","1,437.50","1,473.00","1,472.25","1,460.72","1,26,60,930","18,49,40,14,220.35","4,27,537","68,44,746","54.06"
"INFY","EQ","05-Jun-2024","1,393.65","1,400.15","1,438.00","1,400.15","1,429.95","1,430.10","1,422.55","92,33,424","13,13,50,40,249.80","2,75,273","65,63,777","71.09"
"INFY","EQ","04-Jun-2024","1,405.90","1,409.00","1,415.00","1,358.35","1,400.05","1,393.65","1,394.53","1,37,36,134","19,15,54,47,817.95","3,89,770","81,13,166","59.06"
"INFY","EQ","03-Jun-2024","1,406.90","1,440.00","1,440.00","1,404.00","1,408.30","1,405.90","1,410.56","1,05,89,244","14,93,67,54,676.45","2,76,536","79,74,682","75.31"
"INFY","EQ","31-May-2024","1,427.45","1,409.80","1,436.75","1,400.00","1,407.00","1,406.90","1,414.33","3,71,13,815","52,49,12,66,228.35","4,80,522","2,25,66,239","60.80"
"INFY","EQ","30-May-2024","1,450.95","1,442.80","1,449.85","1,421.55","1,434.95","1,427.45","1,431.84","96,63,150","13,83,61,20,754.00","2,69,401","58,48,165","60.52"
"INFY","EQ","29-May-2024","1,467.05","1,465.40","1,465.50","1,450.00","1,455.00","1,450.95","1,454.96","74,01,634","10,76,90,91,064.90","2,45,143","54,85,547","74.11"
"INFY","EQ","28-May-2024","1,471.35","1,475.50","1,476.00","1,460.30","1,463.00","1,467.05","1,471.00","61,86,922","9,10,09,58,068.45","1,78,525","47,23,117","76.34"
"INFY","EQ","27-May-2024","1,465.10","1,471.85","1,479.60","1,460.25","1,471.00","1,471.35","1,470.82","58,21,844","8,56,28,95,961.60","2,09,335","40,82,361","70.12"
"INFY","EQ","24-May-2024","1,472.40","1,468.25","1,475.50","1,460.00","1,462.60","1,465.10","1,467.29","52,77,938","7,74,42,83,255.40","1,73,496","35,35,961","67.00"
"INFY","EQ","23-May-2024","1,454.80","1,454.70","1,478.15","1,450.00","1,471.05","1,472.40","1,469.37","86,41,428","12,69,74,20,682.20","3,00,489","46,64,587","53.98"
"INFY","EQ","22-May-2024","1,434.15","1,428.75","1,459.95","1,428.00","1,454.20","1,454.80","1,450.92","71,73,285","10,40,78,81,536.70","2,26,692","50,66,600","70.63"
"INFY","EQ","21-May-2024","1,443.65","1,430.00","1,444.70","1,428.40","1,435.55","1,434.15","1,435.51","67,52,663","9,69,35,16,261.30","2,04,780","50,85,153","75.31"
"INFY","EQ","18-May-2024","1,444.30","1,445.00","1,450.00","1,442.00","1,444.30","1,443.65","1,445.13","3,18,277","45,99,52,847.90","13,136","2,01,491","63.31"
"INFY","EQ","17-May-2024","1,453.35","1,457.00","1,457.00","1,439.25","1,445.00","1,444.30","1,445.43","75,42,860","10,90,26,58,147.90","1,70,369","54,28,897","71.97"
"INFY","EQ","16-May-2024","1,419.95","1,433.95","1,455.75","1,427.00","1,450.90","1,453.35","1,444.18","92,49,145","13,35,74,45,779.85","2,54,894","43,32,678","46.84"
"INFY","EQ","15-May-2024","1,424.70","1,426.00","1,431.80","1,418.55","1,420.00","1,419.95","1,422.38","43,27,544","6,15,54,30,094.40","1,86,636","31,04,530","71.74"
"INFY","EQ","14-May-2024","1,423.45","1,426.40","1,433.75","1,418.05","1,425.45","1,424.70","1,423.77","34,63,230","4,93,08,26,754.15","1,37,743","23,56,758","68.05"
"INFY","EQ","13-May-2024","1,424.90","1,425.00","1,425.00","1,411.20","1,423.75","1,423.45","1,418.38","37,35,954","5,29,90,06,122.20","1,89,679","26,39,198","70.64"
"INFY","EQ","10-May-2024","1,439.55","1,435.05","1,435.95","1,413.00","1,425.90","1,424.90","1,421.71","87,77,481","12,47,90,37,534.70","2,74,606","61,21,260","69.74"
"INFY","EQ","09-May-2024","1,427.30","1,427.55","1,449.95","1,424.85","1,434.15","1,439.55","1,439.59","60,88,406","8,76,48,17,592.90","2,96,655","31,74,592","52.14"
